label,image_data
nv,<memory at 0x7f8b8ddca140>
nv,<memory at 0x7f8b71a45780>
nv,<memory at 0x7f8b71a450c0>
bkl,<memory at 0x7f8b71a45840>
mel,<memory at 0x7f8b71a45900>
bcc,<memory at 0x7f8b71a459c0>
bkl,<memory at 0x7f8b71a45a80>
nv,<memory at 0x7f8b71a45b40>
nv,<memory at 0x7f8b71a45c00>
akiec,<memory at 0x7f8b71a45cc0>
nv,<memory at 0x7f8b71a45d80>
nv,<memory at 0x7f8b71a45e40>
nv,<memory at 0x7f8b71a45f00>
mel,<memory at 0x7f8b71a45fc0>
nv,<memory at 0x7f8b71a46080>
nv,<memory at 0x7f8b71a46140>
nv,<memory at 0x7f8b71a46200>
nv,<memory at 0x7f8b71a462c0>
nv,<memory at 0x7f8b71a46380>
nv,<memory at 0x7f8b71a46440>
nv,<memory at 0x7f8b71a46500>
nv,<memory at 0x7f8b71a465c0>
nv,<memory at 0x7f8b71a46680>
nv,<memory at 0x7f8b71a46740>
akiec,<memory at 0x7f8b71a46800>
nv,<memory at 0x7f8b71a468c0>
nv,<memory at 0x7f8b71a46980>
nv,<memory at 0x7f8b71a46a40>
nv,<memory at 0x7f8b71a46b00>
nv,<memory at 0x7f8b71a46bc0>
nv,<memory at 0x7f8b71a46c80>
bcc,<memory at 0x7f8b71a46d40>
mel,<memory at 0x7f8b71a46e00>
nv,<memory at 0x7f8b71a46ec0>
nv,<memory at 0x7f8b71a46f80>
mel,<memory at 0x7f8b71a47040>
nv,<memory at 0x7f8b71a47100>
mel,<memory at 0x7f8b71a471c0>
nv,<memory at 0x7f8b71a47280>
nv,<memory at 0x7f8b71a47340>
nv,<memory at 0x7f8b71a47400>
nv,<memory at 0x7f8b71a474c0>
nv,<memory at 0x7f8b71a47580>
nv,<memory at 0x7f8b71a47640>
nv,<memory at 0x7f8b71a47700>
nv,<memory at 0x7f8b71a477c0>
nv,<memory at 0x7f8b71a47880>
nv,<memory at 0x7f8b71a47940>
bcc,<memory at 0x7f8b71a47a00>
nv,<memory at 0x7f8b71a47ac0>
bcc,<memory at 0x7f8b71a47b80>
nv,<memory at 0x7f8b71a47c40>
mel,<memory at 0x7f8b71a47d00>
nv,<memory at 0x7f8b71a47dc0>
nv,<memory at 0x7f8b71a47e80>
nv,<memory at 0x7f8b71a47f40>
bkl,<memory at 0x7f8b71c0c040>
nv,<memory at 0x7f8b71c0c100>
nv,<memory at 0x7f8b71c0c1c0>
nv,<memory at 0x7f8b71c0c280>
nv,<memory at 0x7f8b71c0c340>
nv,<memory at 0x7f8b71c0c400>
nv,<memory at 0x7f8b71c0c4c0>
nv,<memory at 0x7f8b71c0c580>
nv,<memory at 0x7f8b71c0c640>
nv,<memory at 0x7f8b71c0c700>
nv,<memory at 0x7f8b71c0c7c0>
nv,<memory at 0x7f8b71c0c880>
bkl,<memory at 0x7f8b71c0c940>
bkl,<memory at 0x7f8b71c0ca00>
mel,<memory at 0x7f8b71c0cac0>
akiec,<memory at 0x7f8b71c0cb80>
nv,<memory at 0x7f8b71c0cc40>
nv,<memory at 0x7f8b71c0cd00>
nv,<memory at 0x7f8b71c0cdc0>
nv,<memory at 0x7f8b71c0ce80>
bkl,<memory at 0x7f8b71c0cf40>
mel,<memory at 0x7f8b71c0d000>
nv,<memory at 0x7f8b71c0d0c0>
nv,<memory at 0x7f8b71c0d180>
nv,<memory at 0x7f8b71c0d240>
nv,<memory at 0x7f8b71c0d300>
nv,<memory at 0x7f8b71c0d3c0>
nv,<memory at 0x7f8b71c0d480>
bkl,<memory at 0x7f8b71c0d540>
nv,<memory at 0x7f8b71c0d600>
nv,<memory at 0x7f8b71c0d6c0>
bcc,<memory at 0x7f8b71c0d780>
nv,<memory at 0x7f8b71c0d840>
nv,<memory at 0x7f8b71c0d900>
bkl,<memory at 0x7f8b71c0d9c0>
nv,<memory at 0x7f8b71c0da80>
nv,<memory at 0x7f8b71c0db40>
nv,<memory at 0x7f8b71c0dc00>
nv,<memory at 0x7f8b71c0dcc0>
nv,<memory at 0x7f8b71c0dd80>
nv,<memory at 0x7f8b71c0de40>
